Идентификатор проблемы,Описание,Состояние,Серьезность,Баллы истории,Путь к проекту,Вид расположения,Путь,Линейная,Столбец,Идентификатор инцидента,Ссылка на справку,Имя сборки,Версия сборки,Открытый ключ сборки,Фрагмент
Project.0001,Файл проекта необходимо преобразовать в стиль пакета SDK,Active,Mandatory,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\NeuralNetwork.csproj,,,,,,,,
Project.0002,Необходимо изменить целевые платформы проекта,Active,Mandatory,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\NeuralNetwork.csproj,,,,,,,,"Текущая целевая платформа: .NETFramework,Version=v4.8 Рекомендуемая целевая платформа: net10.0-windows"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,65,12,M:System.Drawing.Image.Save(System.String),,,,,image.Save(path);
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,62,20,"M:System.Drawing.Bitmap.SetPixel(System.Int32,System.Int32,System.Drawing.Color)",,,,,"image.SetPixel(x, y, Color.FromArgb(gray, gray, gray));"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,58,16,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < image.Width; x++)                  {                      var rawValue = pixels[y * Width + x];                      var gray = GrayscaleMode ? rawValue : (rawValue == 1 ? 255 : 0);                      image.SetPixel(x, y, Color.FromArgb(gray, gray, gray));                  }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,56,12,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < image.Height; y++)              {                  for (int x = 0; x < image.Width; x++)                  {                      var rawValue = pixels[y * Width + x];                      var gray = GrayscaleMode ? rawValue : (rawValue == 1 ? 255 : 0);                      image.SetPixel(x, y, Color.FromArgb(gray, gray, gray));                  }              }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,55,12,T:System.Drawing.Bitmap,,,,,"var image = new Bitmap(Width, Height);"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,55,12,"M:System.Drawing.Bitmap.#ctor(System.Int32,System.Int32)",,,,,"var image = new Bitmap(Width, Height);"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,36,20,"M:System.Drawing.Bitmap.GetPixel(System.Int32,System.Int32)",,,,,"var pixel = resizeImage.GetPixel(x, y);"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,34,16,P:System.Drawing.Image.Width,,,,,"for (int x = 0; x < resizeImage.Width; x++)                  {                      var pixel = resizeImage.GetPixel(x, y);                      result.Add(Brightness(pixel));                  }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,32,12,P:System.Drawing.Image.Height,,,,,"for (int y = 0; y < resizeImage.Height; y++)              {                  for (int x = 0; x < resizeImage.Width; x++)                  {                      var pixel = resizeImage.GetPixel(x, y);                      result.Add(Brightness(pixel));                  }              }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,30,12,P:System.Drawing.Image.Width,,,,,Width = resizeImage.Width;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,29,12,P:System.Drawing.Image.Height,,,,,Height = resizeImage.Height;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,26,16,"M:System.Drawing.Graphics.DrawImage(System.Drawing.Image,System.Int32,System.Int32,System.Int32,System.Int32)",,,,,"g.DrawImage(image, 0, 0, 30, 30);"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,25,16,T:System.Drawing.Drawing2D.PixelOffsetMode,,,,,g.PixelOffsetMode = PixelOffsetMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,25,16,T:System.Drawing.Drawing2D.PixelOffsetMode,,,,,g.PixelOffsetMode = PixelOffsetMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,25,16,F:System.Drawing.Drawing2D.PixelOffsetMode.HighQuality,,,,,g.PixelOffsetMode = PixelOffsetMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,25,16,T:System.Drawing.Drawing2D.PixelOffsetMode,,,,,g.PixelOffsetMode = PixelOffsetMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,25,16,P:System.Drawing.Graphics.PixelOffsetMode,,,,,g.PixelOffsetMode = PixelOffsetMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,24,16,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = SmoothingMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,24,16,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = SmoothingMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,24,16,F:System.Drawing.Drawing2D.SmoothingMode.HighQuality,,,,,g.SmoothingMode = SmoothingMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,24,16,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = SmoothingMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,24,16,P:System.Drawing.Graphics.SmoothingMode,,,,,g.SmoothingMode = SmoothingMode.HighQuality;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,23,16,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = InterpolationMode.HighQualityBicubic;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,23,16,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = InterpolationMode.HighQualityBicubic;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,23,16,F:System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic,,,,,g.InterpolationMode = InterpolationMode.HighQualityBicubic;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,23,16,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = InterpolationMode.HighQualityBicubic;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,23,16,P:System.Drawing.Graphics.InterpolationMode,,,,,g.InterpolationMode = InterpolationMode.HighQualityBicubic;
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,21,12,T:System.Drawing.Graphics,,,,,"using (var g = Graphics.FromImage(resizeImage))              {                  g.InterpolationMode = InterpolationMode.HighQualityBicubic;                  g.SmoothingMode = SmoothingMode.HighQuality;                  g.PixelOffsetMode = PixelOffsetMode.HighQuality;                  g.DrawImage(image, 0, 0, 30, 30);              }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,21,12,T:System.Drawing.Graphics,,,,,"using (var g = Graphics.FromImage(resizeImage))              {                  g.InterpolationMode = InterpolationMode.HighQualityBicubic;                  g.SmoothingMode = SmoothingMode.HighQuality;                  g.PixelOffsetMode = PixelOffsetMode.HighQuality;                  g.DrawImage(image, 0, 0, 30, 30);              }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,21,12,M:System.Drawing.Graphics.FromImage(System.Drawing.Image),,,,,"using (var g = Graphics.FromImage(resizeImage))              {                  g.InterpolationMode = InterpolationMode.HighQualityBicubic;                  g.SmoothingMode = SmoothingMode.HighQuality;                  g.PixelOffsetMode = PixelOffsetMode.HighQuality;                  g.DrawImage(image, 0, 0, 30, 30);              }"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,20,12,T:System.Drawing.Bitmap,,,,,"var resizeImage = new Bitmap(30, 30);"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,20,12,"M:System.Drawing.Bitmap.#ctor(System.Int32,System.Int32)",,,,,"var resizeImage = new Bitmap(30, 30);"
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,18,12,T:System.Drawing.Bitmap,,,,,var image = new Bitmap(path);
Api.0002,Несовместимость источника для выбранной версии .NET,Active,Potential,1,NeuralNetwork\NeuralNetwork.csproj,File,NeuralNetwork\PictureConverter.cs,18,12,M:System.Drawing.Bitmap.#ctor(System.String),,,,,var image = new Bitmap(path);
Project.0001,Файл проекта необходимо преобразовать в стиль пакета SDK,Active,Mandatory,1,NeuralNetworkTests\NeuralNetworkTests.csproj,File,NeuralNetworkTests\NeuralNetworkTests.csproj,,,,,,,,
Project.0002,Необходимо изменить целевые платформы проекта,Active,Mandatory,1,NeuralNetworkTests\NeuralNetworkTests.csproj,File,NeuralNetworkTests\NeuralNetworkTests.csproj,,,,,,,,"Текущая целевая платформа: .NETFramework,Version=v4.8 Рекомендуемая целевая платформа: net10.0"
